recorded_at,type,value
2026-09-15T05:00:00.000Z,soil_moisture,40.5
2026-09-15T05:00:00.000Z,ph,6.70
2026-09-15T05:00:00.000Z,light,0
2026-09-15T05:30:00.000Z,temperature,24.2
2026-09-15T05:30:00.000Z,humidity,72.0
2026-09-15T05:30:00.000Z,soil_moisture,40.0
2026-09-15T05:30:00.000Z,ph,6.69
2026-09-15T05:30:00.000Z,light,96
2026-09-15T06:00:00.000Z,temperature,25.5
2026-09-15T06:00:00.000Z,humidity,70.0
2026-09-15T06:00:00.000Z,soil_moisture,39.6
2026-09-15T06:00:00.000Z,ph,6.68
2026-09-15T06:00:00.000Z,light,200
2026-09-15T06:30:00.000Z,temperature,27.2
2026-09-15T06:30:00.000Z,humidity,68.0
2026-09-15T06:30:00.000Z,soil_moisture,39.1
2026-09-15T06:30:00.000Z,ph,6.67
2026-09-15T06:30:00.000Z,light,304
2026-09-15T07:00:00.000Z,temperature,28.6
2026-09-15T07:00:00.000Z,humidity,66.1
2026-09-15T07:00:00.000Z,soil_moisture,38.7
2026-09-15T07:00:00.000Z,ph,6.64
2026-09-15T07:00:00.000Z,light,407
2026-09-15T07:30:00.000Z,temperature,29.0
2026-09-15T07:30:00.000Z,humidity,64.3
2026-09-15T07:30:00.000Z,soil_moisture,38.3
2026-09-15T07:30:00.000Z,ph,6.62
2026-09-15T07:30:00.000Z,light,506
2026-09-15T08:00:00.000Z,temperature,28.7
2026-09-15T08:00:00.000Z,humidity,62.5
2026-09-15T08:00:00.000Z,soil_moisture,37.8
2026-09-15T08:00:00.000Z,ph,6.59
2026-09-15T08:00:00.000Z,light,600
2026-09-15T08:30:00.000Z,temperature,28.7
2026-09-15T08:30:00.000Z,humidity,60.9
2026-09-15T08:30:00.000Z,soil_moisture,37.4
2026-09-15T08:30:00.000Z,ph,6.56
2026-09-15T08:30:00.000Z,light,687
2026-09-15T09:00:00.000Z,temperature,29.4
2026-09-15T09:00:00.000Z,humidity,59.4
2026-09-15T09:00:00.000Z,soil_moisture,36.9
2026-09-15T09:00:00.000Z,ph,6.53
2026-09-15T09:00:00.000Z,light,766
2026-09-15T09:30:00.000Z,temperature,30.9
2026-09-15T09:30:00.000Z,humidity,58.1
2026-09-15T09:30:00.000Z,soil_moisture,36.5
2026-09-15T09:30:00.000Z,ph,6.49
2026-09-15T09:30:00.000Z,light,835
2026-09-15T10:00:00.000Z,temperature,32.1
2026-09-15T10:00:00.000Z,humidity,57.0
2026-09-15T10:00:00.000Z,soil_moisture,36.0
2026-09-15T10:00:00.000Z,ph,6.46
2026-09-15T10:00:00.000Z,light,893
2026-09-15T10:30:00.000Z,temperature,32.3
2026-09-15T10:30:00.000Z,humidity,56.1
2026-09-15T10:30:00.000Z,soil_moisture,35.5
2026-09-15T10:30:00.000Z,ph,6.43
2026-09-15T10:30:00.000Z,light,939
2026-09-15T11:00:00.000Z,temperature,31.8
2026-09-15T11:00:00.000Z,humidity,55.5
2026-09-15T11:00:00.000Z,soil_moisture,35.1
2026-09-15T11:00:00.000Z,ph,6.40
2026-09-15T11:00:00.000Z,light,973
2026-09-15T11:30:00.000Z,temperature,31.1
2026-09-15T11:30:00.000Z,humidity,55.1
2026-09-15T11:30:00.000Z,soil_moisture,34.6
2026-09-15T11:30:00.000Z,ph,6.37
2026-09-15T11:30:00.000Z,light,993
2026-09-15T12:00:00.000Z,temperature,31.1
2026-09-15T12:00:00.000Z,humidity,55.0
2026-09-15T12:00:00.000Z,soil_moisture,34.2
2026-09-15T12:00:00.000Z,ph,6.35
2026-09-15T12:00:00.000Z,light,1000
2026-09-15T12:30:00.000Z,temperature,31.8
2026-09-15T12:30:00.000Z,humidity,55.1
2026-09-15T12:30:00.000Z,soil_moisture,33.8
2026-09-15T12:30:00.000Z,ph,6.33
2026-09-15T12:30:00.000Z,light,993
2026-09-15T13:00:00.000Z,temperature,32.6
2026-09-15T13:00:00.000Z,humidity,55.5
2026-09-15T13:00:00.000Z,soil_moisture,33.3
2026-09-15T13:00:00.000Z,ph,6.31
2026-09-15T13:00:00.000Z,light,973
2026-09-15T13:30:00.000Z,temperature,32.5
2026-09-15T13:30:00.000Z,humidity,56.1
2026-09-15T13:30:00.000Z,soil_moisture,32.9
2026-09-15T13:30:00.000Z,ph,6.30
2026-09-15T13:30:00.000Z,light,939
2026-09-15T14:00:00.000Z,temperature,31.5
2026-09-15T14:00:00.000Z,humidity,57.0
2026-09-15T14:00:00.000Z,soil_moisture,32.4
2026-09-15T14:00:00.000Z,ph,6.30
2026-09-15T14:00:00.000Z,light,893
2026-09-15T14:30:00.000Z,temperature,30.1
2026-09-15T14:30:00.000Z,humidity,58.1
2026-09-15T14:30:00.000Z,soil_moisture,31.9
2026-09-15T14:30:00.000Z,ph,6.30
2026-09-15T14:30:00.000Z,light,835
2026-09-15T15:00:00.000Z,temperature,29.2
2026-09-15T15:00:00.000Z,humidity,59.4
2026-09-15T15:00:00.000Z,soil_moisture,31.5
2026-09-15T15:00:00.000Z,ph,6.31
2026-09-15T15:00:00.000Z,light,766
2026-09-15T15:30:00.000Z,temperature,29.3
2026-09-15T15:30:00.000Z,humidity,60.9
2026-09-15T15:30:00.000Z,soil_moisture,31.0
2026-09-15T15:30:00.000Z,ph,6.32
2026-09-15T15:30:00.000Z,light,687
2026-09-15T16:00:00.000Z,temperature,29.6
2026-09-15T16:00:00.000Z,humidity,62.5
2026-09-15T16:00:00.000Z,soil_moisture,30.6
2026-09-15T16:00:00.000Z,ph,6.34
2026-09-15T16:00:00.000Z,light,600
2026-09-15T16:30:00.000Z,temperature,29.3
2026-09-15T16:30:00.000Z,humidity,64.3
2026-09-15T16:30:00.000Z,soil_moisture,30.1
2026-09-15T16:30:00.000Z,ph,6.36
2026-09-15T16:30:00.000Z,light,506
2026-09-15T17:00:00.000Z,temperature,28.1
2026-09-15T17:00:00.000Z,humidity,66.1
2026-09-15T17:00:00.000Z,soil_moisture,29.7
2026-09-15T17:00:00.000Z,ph,6.38
2026-09-15T17:00:00.000Z,light,407
2026-09-15T17:30:00.000Z,temperature,26.4
2026-09-15T17:30:00.000Z,humidity,68.0
2026-09-15T17:30:00.000Z,soil_moisture,29.3
2026-09-15T17:30:00.000Z,ph,6.41
2026-09-15T17:30:00.000Z,light,304
2026-09-15T18:00:00.000Z,temperature,25.0
2026-09-15T18:00:00.000Z,humidity,70.0
2026-09-15T18:00:00.000Z,soil_moisture,28.8
2026-09-15T18:00:00.000Z,ph,6.44
2026-09-15T18:00:00.000Z,light,200
2026-09-15T18:30:00.000Z,temperature,24.6
2026-09-15T18:30:00.000Z,humidity,72.0
2026-09-15T18:30:00.000Z,soil_moisture,28.3
2026-09-15T18:30:00.000Z,ph,6.48
2026-09-15T18:30:00.000Z,light,96
2026-09-15T19:00:00.000Z,temperature,24.7
2026-09-15T19:00:00.000Z,humidity,73.9
2026-09-15T19:00:00.000Z,soil_moisture,27.9
2026-09-15T19:00:00.000Z,ph,6.51
2026-09-15T19:00:00.000Z,light,0
2026-09-15T19:30:00.000Z,temperature,24.7
2026-09-15T19:30:00.000Z,humidity,75.7
2026-09-15T19:30:00.000Z,soil_moisture,27.4
2026-09-15T19:30:00.000Z,ph,6.54
2026-09-15T19:30:00.000Z,light,0
2026-09-15T20:00:00.000Z,temperature,23.7
2026-09-15T20:00:00.000Z,humidity,77.5
2026-09-15T20:00:00.000Z,soil_moisture,27.0
2026-09-15T20:00:00.000Z,ph,6.57
2026-09-15T20:00:00.000Z,light,0
2026-09-15T20:30:00.000Z,temperature,22.1
2026-09-15T20:30:00.000Z,humidity,79.1
2026-09-15T20:30:00.000Z,soil_moisture,26.6
2026-09-15T20:30:00.000Z,ph,6.60
2026-09-15T20:30:00.000Z,light,0
2026-09-15T21:00:00.000Z,temperature,20.9
2026-09-15T21:00:00.000Z,humidity,80.6
2026-09-15T21:00:00.000Z,soil_moisture,26.1
2026-09-15T21:00:00.000Z,ph,6.63
2026-09-15T21:00:00.000Z,light,0
2026-09-15T21:30:00.000Z,temperature,20.4
2026-09-15T21:30:00.000Z,humidity,81.9
2026-09-15T21:30:00.000Z,soil_moisture,25.6
2026-09-15T21:30:00.000Z,ph,6.65
2026-09-15T21:30:00.000Z,light,0
2026-09-15T22:00:00.000Z,temperature,20.8
2026-09-15T22:00:00.000Z,humidity,83.0
2026-09-15T22:00:00.000Z,soil_moisture,25.2
2026-09-15T22:00:00.000Z,ph,6.67
2026-09-15T22:00:00.000Z,light,0
2026-09-15T22:30:00.000Z,temperature,21.4
2026-09-15T22:30:00.000Z,humidity,83.9
2026-09-15T22:30:00.000Z,soil_moisture,24.8
2026-09-15T22:30:00.000Z,ph,6.69
2026-09-15T22:30:00.000Z,light,0
2026-09-15T23:00:00.000Z,temperature,21.1
2026-09-15T23:00:00.000Z,humidity,84.5
2026-09-15T23:00:00.000Z,soil_moisture,24.3
2026-09-15T23:00:00.000Z,ph,6.70
2026-09-15T23:00:00.000Z,light,0
2026-09-15T23:30:00.000Z,temperature,20.2
2026-09-15T23:30:00.000Z,humidity,84.9
2026-09-15T23:30:00.000Z,soil_moisture,23.8
2026-09-15T23:30:00.000Z,ph,6.70
2026-09-15T23:30:00.000Z,light,0
